Upah Minimum Provinsi,Pengeluaran,Upah_Rata_rata,Cluster
1900000.0,395136.0,11226.0,2
1900000.0,395136.0,11226.0,2
1900000.0,415354.0,11226.0,2
1900000.0,415354.0,11226.0,2
1900000.0,466355.0,11226.0,2
1900000.0,466355.0,11226.0,2
1900000.0,260183.0,11226.0,2
1900000.0,260183.0,11226.0,2
1900000.0,336764.0,11226.0,2
1900000.0,336764.0,11226.0,2
1900000.0,529945.0,11226.0,2
1900000.0,529945.0,11226.0,2
1900000.0,655319.0,11226.0,2
1900000.0,655319.0,11226.0,2
1900000.0,752118.0,11226.0,2
1900000.0,752118.0,11226.0,2
1900000.0,996300.0,11226.0,2
1900000.0,996300.0,11226.0,2
2118500.0,412251.0,13627.0,1
2118500.0,412251.0,13627.0,1
2118500.0,451952.0,13627.0,1
2118500.0,451952.0,13627.0,1
2118500.0,548853.0,13627.0,1
2118500.0,548853.0,13627.0,1
2118500.0,272829.0,13627.0,1
2118500.0,272829.0,13627.0,1
2118500.0,356142.0,13627.0,1
2118500.0,356142.0,13627.0,1
2118500.0,559492.0,13627.0,1
2118500.0,559492.0,13627.0,1
2118500.0,685080.0,13627.0,1
2118500.0,685080.0,13627.0,1
2118500.0,808094.0,13627.0,1
2118500.0,808094.0,13627.0,1
2118500.0,1108346.0,13627.0,1
2118500.0,1108346.0,13627.0,1
2500000.0,494150.0,14809.0,1
2500000.0,494150.0,14809.0,1
2500000.0,529161.0,14809.0,1
2500000.0,529161.0,14809.0,1
2500000.0,610732.0,14809.0,1
2500000.0,610732.0,14809.0,1
2500000.0,287004.0,14809.0,1
2500000.0,287004.0,14809.0,1
2500000.0,373833.0,14809.0,1
2500000.0,373833.0,14809.0,1
2500000.0,576134.0,14809.0,1
2500000.0,576134.0,14809.0,1
2500000.0,781155.0,14809.0,1
2500000.0,781155.0,14809.0,1
2500000.0,902994.0,14809.0,1
2500000.0,902994.0,14809.0,1
2500000.0,1186867.0,14809.0,1
2500000.0,1186867.0,14809.0,1
2700000.0,506656.0,13814.0,0
2700000.0,506656.0,13814.0,0
2700000.0,547668.0,13814.0,0
2700000.0,547668.0,13814.0,0
2700000.0,637432.0,13814.0,0
2700000.0,637432.0,13814.0,0
2700000.0,331248.0,13814.0,0
2700000.0,331248.0,13814.0,0
2700000.0,426149.0,13814.0,0
2700000.0,426149.0,13814.0,0
2700000.0,633864.0,13814.0,0
2700000.0,633864.0,13814.0,0
2700000.0,837905.0,13814.0,0
2700000.0,837905.0,13814.0,0
2700000.0,973817.0,13814.0,0
2700000.0,973817.0,13814.0,0
2700000.0,1271297.0,13814.0,0
2700000.0,1271297.0,13814.0,0
2916810.0,520759.0,15065.0,0
2916810.0,520759.0,15065.0,0
2916810.0,559299.0,15065.0,0
2916810.0,559299.0,15065.0,0
2916810.0,639421.0,15065.0,0
2916810.0,639421.0,15065.0,0
2916810.0,334915.0,15065.0,0
2916810.0,334915.0,15065.0,0
2916810.0,434133.0,15065.0,0
2916810.0,434133.0,15065.0,0
2916810.0,640399.0,15065.0,0
2916810.0,640399.0,15065.0,0
2916810.0,855674.0,15065.0,0
2916810.0,855674.0,15065.0,0
2916810.0,993433.0,15065.0,0
2916810.0,993433.0,15065.0,0
2916810.0,1279820.0,15065.0,0
2916810.0,1279820.0,15065.0,0
3165031.0,566947.0,18099.0,0
3165031.0,566947.0,18099.0,0
3165031.0,595634.0,18099.0,0
3165031.0,595634.0,18099.0,0
3165031.0,655222.0,18099.0,0
3165031.0,655222.0,18099.0,0
3165031.0,378673.0,18099.0,0
3165031.0,378673.0,18099.0,0
3165031.0,484536.0,18099.0,0
3165031.0,484536.0,18099.0,0
3165031.0,704431.0,18099.0,0
3165031.0,704431.0,18099.0,0
3165031.0,945621.0,18099.0,0
3165031.0,945621.0,18099.0,0
3165031.0,1080171.0,18099.0,0
3165031.0,1080171.0,18099.0,0
3165031.0,1359653.0,18099.0,0
3165031.0,1359653.0,18099.0,0
3165031.0,597940.0,17037.0,0
3165031.0,597940.0,17037.0,0
3165031.0,643591.0,17037.0,0
3165031.0,643591.0,17037.0,0
3165031.0,734401.0,17037.0,0
3165031.0,734401.0,17037.0,0
3165031.0,378673.0,17037.0,0
3165031.0,378673.0,17037.0,0
3165031.0,494227.0,17037.0,0
3165031.0,494227.0,17037.0,0
3165031.0,724090.0,17037.0,0
3165031.0,724090.0,17037.0,0
3165031.0,976613.0,17037.0,0
3165031.0,976613.0,17037.0,0
3165031.0,1137819.0,17037.0,0
3165031.0,1137819.0,17037.0,0
3166460.0,633566.0,16772.0,0
3166460.0,633566.0,16772.0,0
3166460.0,668480.0,16772.0,0
3166460.0,668480.0,16772.0,0
3166460.0,736172.0,16772.0,0
3166460.0,736172.0,16772.0,0
3166460.0,406040.0,16772.0,0
3166460.0,406040.0,16772.0,0
3166460.0,511651.0,16772.0,0
3166460.0,511651.0,16772.0,0
3166460.0,716409.0,16772.0,0
3166460.0,716409.0,16772.0,0
3166460.0,1039606.0,16772.0,0
3166460.0,1039606.0,16772.0,0
3166460.0,1180132.0,16772.0,0
3166460.0,1180132.0,16772.0,0
1621172.0,389091.0,11038.0,2
1621172.0,389091.0,11038.0,2
1621172.0,421577.0,11038.0,2
1621172.0,421577.0,11038.0,2
1621172.0,441921.0,11038.0,2
1621172.0,441921.0,11038.0,2
1621172.0,441381.0,11038.0,2
1621172.0,441381.0,11038.0,2
1621172.0,623568.0,11038.0,2
1621172.0,623568.0,11038.0,2
1621172.0,737657.0,11038.0,2
1621172.0,737657.0,11038.0,2
1621172.0,830471.0,11038.0,2
1621172.0,830471.0,11038.0,2
1621172.0,1045145.0,11038.0,2
1621172.0,1045145.0,11038.0,2
1621172.0,1179578.0,11038.0,2
1621172.0,1179578.0,11038.0,2
1807600.0,415994.0,14852.0,2
1807600.0,415994.0,14852.0,2
1807600.0,465993.0,14852.0,2
1807600.0,465993.0,14852.0,2
1807600.0,495437.0,14852.0,2
1807600.0,495437.0,14852.0,2
1807600.0,467022.0,14852.0,2
1807600.0,467022.0,14852.0,2
1807600.0,633569.0,14852.0,2
1807600.0,633569.0,14852.0,2
1807600.0,731649.0,14852.0,2
1807600.0,731649.0,14852.0,2
1807600.0,883016.0,14852.0,2
1807600.0,883016.0,14852.0,2
1807600.0,1099561.0,14852.0,2
1807600.0,1099561.0,14852.0,2
1807600.0,1227087.0,14852.0,2
1807600.0,1227087.0,14852.0,2
1956727.0,462189.0,15624.0,1
1956727.0,462189.0,15624.0,1
1956727.0,569168.0,15624.0,1
1956727.0,569168.0,15624.0,1
1956727.0,629479.0,15624.0,1
1956727.0,629479.0,15624.0,1
1956727.0,492979.0,15624.0,1
1956727.0,492979.0,15624.0,1
1956727.0,762916.0,15624.0,1
1956727.0,762916.0,15624.0,1
1956727.0,915099.0,15624.0,1
1956727.0,915099.0,15624.0,1
1956727.0,955168.0,15624.0,1
1956727.0,955168.0,15624.0,1
1956727.0,1332084.0,15624.0,1
1956727.0,1332084.0,15624.0,1
2127157.0,508462.0,15889.0,1
2127157.0,508462.0,15889.0,1
2127157.0,599976.0,15889.0,1
2127157.0,599976.0,15889.0,1
2127157.0,646596.0,15889.0,1
2127157.0,646596.0,15889.0,1
2127157.0,506501.0,15889.0,1
2127157.0,506501.0,15889.0,1
2127157.0,767056.0,15889.0,1
2127157.0,767056.0,15889.0,1
2127157.0,899792.0,15889.0,1
2127157.0,899792.0,15889.0,1
2127157.0,1014963.0,15889.0,1
2127157.0,1014963.0,15889.0,1
2127157.0,1367032.0,15889.0,1
2127157.0,1367032.0,15889.0,1
2297969.0,519389.0,16408.0,1
2297969.0,519389.0,16408.0,1
2297969.0,609181.0,16408.0,1
2297969.0,609181.0,16408.0,1
2297969.0,649854.0,16408.0,1
2297969.0,649854.0,16408.0,1
2297969.0,535918.0,16408.0,1
2297969.0,535918.0,16408.0,1
2297969.0,777972.0,16408.0,1
2297969.0,777972.0,16408.0,1
2297969.0,887615.0,16408.0,1
